t,demand,u_g1,p_g1,u_g2,p_g2,u_g3,p_g3,u_g4,p_g4,u_g5,p_g5
0,230.749,1,181.92,0,0,1,48.8286,0,0,0,0
1,221.679,1,172.85,0,0,1,48.8286,0,0,0,0
2,215.635,1,166.807,0,0,1,48.8286,0,0,0,0
3,212.067,1,163.238,0,0,1,48.8286,0,0,0,0
4,214.344,1,165.515,0,0,1,48.8286,0,0,0,0
5,218.779,1,169.951,0,0,1,48.8286,0,0,0,0
6,231.201,1,182.372,0,0,1,48.8286,0,0,0,0
7,240.261,1,191.433,0,0,1,48.8286,0,0,0,0
8,245.501,1,196.672,0,0,1,48.8286,0,0,0,0
9,251.364,1,202.535,0,0,1,48.8286,0,0,0,0
10,249.16,1,200.331,0,0,1,48.8286,0,0,0,0
11,250.325,1,201.496,0,0,1,48.8286,0,0,0,0
12,242.384,1,193.556,0,0,1,48.8286,0,0,0,0
13,240.316,1,191.487,0,0,1,48.8286,0,0,0,0
14,239.277,1,190.448,0,0,1,48.8286,0,0,0,0
15,243.224,1,194.396,0,0,1,48.8286,0,0,0,0
16,263.984,1,215.155,0,0,1,48.8286,0,0,0,0
17,288.61,1,239.781,0,0,1,48.8286,0,0,0,0
18,281.546,1,232.717,0,0,1,48.8286,0,0,0,0
19,286.279,1,237.451,0,0,1,48.8286,0,0,0,0
20,285.819,1,236.99,0,0,1,48.8286,0,0,0,0
21,272.62,1,223.792,0,0,1,48.8286,0,0,0,0
22,258.347,1,209.518,0,0,1,48.8286,0,0,0,0
23,241.228,1,192.399,0,0,1,48.8286,0,0,0,0
24,229.565,1,180.737,0,0,1,48.8286,0,0,0,0
25,220.992,1,172.164,0,0,1,48.8286,0,0,0,0
26,211.064,1,162.236,0,0,1,48.8286,0,0,0,0
27,213.847,1,165.018,0,0,1,48.8286,0,0,0,0
28,216.069,1,167.24,0,0,1,48.8286,0,0,0,0
29,229.719,1,180.89,0,0,1,48.8286,0,0,0,0
30,245.781,1,196.952,0,0,1,48.8286,0,0,0,0
31,255.384,1,206.555,0,0,1,48.8286,0,0,0,0
32,263.017,1,214.189,0,0,1,48.8286,0,0,0,0
33,274.31,1,225.481,0,0,1,48.8286,0,0,0,0
34,275.647,1,226.818,0,0,1,48.8286,0,0,0,0
35,271.554,1,222.726,0,0,1,48.8286,0,0,0,0
