t,demand,u_g1,p_g1,u_g2,p_g2,u_g3,p_g3,u_g4,p_g4,u_g5,p_g5,u_g6,p_g6
0,268.928,0,-0,1,120.094,1,48.8286,0,0,1,49.4772,1,50.5288
1,258.358,-0,-0,1,109.523,1,48.8286,0,0,1,49.4772,1,50.5288
2,251.314,-0,-0,1,102.479,1,48.8286,0,0,1,49.4772,1,50.5288
3,247.155,-0,-0,1,98.3207,1,48.8286,0,0,1,49.4772,1,50.5288
4,249.809,-0,-0,1,100.974,1,48.8286,0,0,1,49.4772,1,50.5288
5,254.978,-0,-0,1,106.143,1,48.8286,0,0,1,49.4772,1,50.5288
6,269.455,-0,-0,1,71.3114,1,48.8286,1,49.3085,1,49.4772,1,50.5288
7,280.015,-0,-0,1,81.8715,1,48.8286,1,49.3085,1,49.4772,1,50.5288
8,286.121,-0,-0,1,87.978,1,48.8286,1,49.3085,1,49.4772,1,50.5288
9,292.954,-0,-0,1,94.8109,1,48.8286,1,49.3085,1,49.4772,1,50.5288
10,290.385,-0,-0,1,92.242,1,48.8286,1,49.3085,1,49.4772,1,50.5288
11,291.743,-0,-0,1,93.6002,1,48.8286,1,49.3085,1,49.4772,1,50.5288
12,282.489,-0,-0,1,84.3457,1,48.8286,1,49.3085,1,49.4772,1,50.5288
13,280.078,-0,-0,1,81.9347,1,48.8286,1,49.3085,1,49.4772,1,50.5288
14,278.867,-0,-0,1,80.7239,1,48.8286,1,49.3085,1,49.4772,1,50.5288
15,283.468,-0,-0,1,85.3248,1,48.8286,1,49.3085,1,49.4772,1,50.5288
16,307.662,-0,-0,1,109.519,1,48.8286,1,49.3085,1,49.4772,1,50.5288
17,336.363,-0,-0,1,132.319,1,48.8286,1,49.3085,1,49.4772,1,56.4295
18,328.13,-0,-0,1,129.986,1,48.8286,1,49.3085,1,49.4772,1,50.5288
19,333.647,-0,-0,1,132.319,1,48.8286,1,49.3085,1,49.4772,1,53.7131
20,333.11,-0,-0,1,132.319,1,48.8286,1,49.3085,1,49.4772,1,53.1762
21,317.728,-0,-0,1,119.584,1,48.8286,1,49.3085,1,49.4772,1,50.5288
22,301.093,-0,-0,1,102.949,1,48.8286,1,49.3085,1,49.4772,1,50.5288
23,281.141,-0,-0,1,82.998,1,48.8286,1,49.3085,1,49.4772,1,50.5288
24,267.549,-0,-0,1,69.4058,1,48.8286,1,49.3085,1,49.4772,1,50.5288
25,257.557,-0,-0,1,59.4143,1,48.8286,1,49.3085,1,49.4772,1,50.5288
26,245.987,-0,-0,1,47.8435,1,48.8286,1,49.3085,1,49.4772,1,50.5288
27,249.229,-0,-0,1,51.0862,1,48.8286,1,49.3085,1,49.4772,1,50.5288
28,251.819,-0,-0,1,53.6763,1,48.8286,1,49.3085,1,49.4772,1,50.5288
29,267.728,-0,-0,1,69.5848,1,48.8286,1,49.3085,1,49.4772,1,50.5288
30,286.448,-0,-0,1,88.3044,1,48.8286,1,49.3085,1,49.4772,1,50.5288
31,297.639,-0,-0,1,99.4961,1,48.8286,1,49.3085,1,49.4772,1,50.5288
32,306.536,-0,-0,1,108.393,1,48.8286,1,49.3085,1,49.4772,1,50.5288
33,319.696,-0,-0,1,121.553,1,48.8286,1,49.3085,1,49.4772,1,50.5288
34,321.255,-0,-0,1,123.111,1,48.8286,1,49.3085,1,49.4772,1,50.5288
35,316.485,-0,-0,1,118.342,1,48.8286,1,49.3085,1,49.4772,1,50.5288
